,school_name,english_rank,english_tested,english_score,english_image,math_rank,math_tested,math_score,math_image
11,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Alfred J Gomes</a>,895,89,12,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,918,89,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
12,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Chandler Magnet</a>,908,51,8,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,918,50,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
13,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Mattahunt</a>,915,73,5,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,918,73,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
14,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Burncoat Street</a>,881,27,15,NA,917,28,11,NA
15,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Horatio A Kempton</a>,866,16,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,914,16,13,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
16,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>King K-8</a>,891,31,13,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,914,31,13,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
17,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holyoke.xml#schools'>Morgan Elementary</a>,920,45,0,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,914,45,13,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
18,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pittsfield.xml#schools'>Silvio O Conte Community</a>,888,51,14,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,911,51,14,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
19,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Hayden/McFadden</a>,908,77,8,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,911,77,14,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
20,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holyoke.xml#schools'>Kelly Elementary</a>,920,51,0,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,911,50,14,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
21,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holyokecommunitycharter.xml#schools'>Holyoke Community Charter School</a>,820,57,26,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,905,59,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
22,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pittsfield.xml#schools'>Morningside Community School</a>,830,68,25,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,905,68,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
23,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holyoke.xml#schools'>Maurice A Donahue Elementary</a>,876,50,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,905,53,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
24,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Ellis Mendell</a>,881,26,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,905,26,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
25,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>James W Hennigan</a>,900,108,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,905,108,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
26,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Maurice J Tobin</a>,912,34,6,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,905,34,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
27,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Oscar F Raymond</a>,856,107,21,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,901,107,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
28,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Belmont Street Community</a>,870,49,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,901,49,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
29,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>James J Chittick</a>,915,38,5,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,901,38,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
30,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>John P Holland</a>,915,86,5,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,901,87,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
31,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/medford.xml#schools'>Milton Fuller Roberts</a>,747,90,33,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,899,90,17,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
32,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>William McKinley</a>,920,28,0,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,899,29,17,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
33,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Jireh Swift</a>,723,40,35,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,892,40,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
34,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Dr W Arnone Community School</a>,809,113,27,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,892,113,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
35,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/salem.xml#schools'>Bentley</a>,830,44,25,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,892,44,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
36,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dorchestercollegiateacademycharter.xml#schools'>Dorchester Collegiate Academy Charter</a>,846,35,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,892,39,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
37,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pittsfield.xml#schools'>Crosby</a>,881,40,15,NA,892,40,18,NA
38,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/randolph.xml#schools'>J F Kennedy Elementary</a>,891,45,13,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,892,45,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
39,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Chandler Elementary Community</a>,900,39,10,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,892,39,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
40,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/mohawktrail.xml#schools'>Colrain Central</a>,626,16,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,883,16,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
41,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/haverhill.xml#schools'>Consentino Middle School</a>,660,32,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,883,32,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
42,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Joseph Lee</a>,772,80,31,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,883,81,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
43,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Gerena</a>,851,65,22,NA,883,64,19,NA
44,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Mozart</a>,866,16,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,883,16,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
45,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Washington Elementary School</a>,866,54,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,883,54,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
46,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Thomas J Kenny</a>,876,43,16,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,883,43,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
47,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>William N. DeBerry</a>,896,38,11,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,883,37,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
48,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Mildred Avenue K-8</a>,912,34,6,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,883,36,19,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
49,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/peabody.xml#schools'>Captain Samuel Brown</a>,723,54,35,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,878,55,20,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
50,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/gillmontague.xml#schools'>Montague Elementary School</a>,830,59,25,NA,878,59,20,NA
51,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Edgar B Davis</a>,870,116,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,878,116,20,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
52,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holyoke.xml#schools'>William R. Peck School</a>,912,63,6,NA,878,65,20,NA
53,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>William R Fallon</a>,920,10,0,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,878,10,20,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
54,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/norwood.xml#schools'>Charles J Prescott</a>,146,39,74,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,875,38,21,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
55,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Quinsigamond</a>,820,72,26,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,875,72,21,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
56,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Woodland Academy</a>,851,58,22,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,875,57,21,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
57,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/melrose.xml#schools'>Roosevelt</a>,534,90,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,871,90,22,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
58,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ware.xml#schools'>Ware Middle School</a>,747,85,33,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,871,85,22,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
59,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Boland School</a>,798,96,28,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,871,96,22,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
60,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Sarah Greenwood</a>,888,36,14,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,871,36,22,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
61,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Edward Everett</a>,660,44,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,862,43,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
62,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pittsfield.xml#schools'>Allendale</a>,723,52,35,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,862,53,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
63,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/gloucester.xml#schools'>Beeman Memorial</a>,747,57,33,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,862,57,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
64,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/massvirtualacademy.xml#schools'>Massachusetts Virtual Academy at Greenfield Common</a>,781,37,30,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,862,39,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
65,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Canterbury</a>,830,40,25,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,862,40,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
66,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Brightwood</a>,840,55,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,862,53,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
67,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Elizabeth Carter Brooks</a>,856,47,21,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,862,47,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
68,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Elihu Greenwood Leadership Academy</a>,870,60,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,862,60,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
69,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>William Monroe Trotter</a>,881,40,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,862,40,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
70,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/billerica.xml#schools'>John F Kennedy</a>,649,86,42,NA,849,88,24,NA
71,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/leicester.xml#schools'>Leicester Memorial Elementary</a>,723,154,35,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,849,153,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
72,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Hugh Roe O'Donnell</a>,747,45,33,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,849,45,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
73,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>James Condon Elementary</a>,772,123,31,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,849,123,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
74,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Hiram L Dorman</a>,809,49,27,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,849,50,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
75,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/haverhill.xml#schools'>Tilton</a>,830,101,25,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,849,100,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
76,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Hancock</a>,840,99,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,849,99,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
77,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fitchburg.xml#schools'>McKay Arts Academy</a>,840,62,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,849,62,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
78,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Rice Square</a>,840,45,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,849,45,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
79,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Mary E. Baker School</a>,856,119,21,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,849,119,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
80,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>John B Devalles</a>,861,55,20,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,849,55,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
81,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Clark St Community</a>,870,34,18,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,849,34,24,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
83,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Sumner G. Whittier School</a>,660,71,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,842,71,25,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
